,标题,学校,门类/专业,招生人数,发布时间,链接
24,大连工业大学调剂学硕和专硕！,大连工大,工学 -> 材料科学与工程  ,5,2020-04-09 20:41,http://muchong.com/t-14184089-1
25,大连民族大学许青松研究团队招收生物工程/生物化学等专业2020考研调剂硕士生,大连民族,工学   ,2,2020-04-09 20:31,http://muchong.com/t-14184071-1
26,湖北汽车工业学院理学院还有少量学硕名额，接收材料、化学等专业硕士生调剂！！！,湖北汽院,工学 -> 光学工程  ,6,2020-04-09 19:41,http://muchong.com/t-14184005-1
27,阻燃/炭材料团队  招收调剂研究生 中原工学院,中原工学院,工学 -> 材料科学与工程  ,8,2020-04-09 18:00,http://muchong.com/t-14183894-1
28,欢迎报考与调剂中国计量大学光学与电子科技学院下属光电材料与器件研究院的硕士研究生,中国计量,工学 -> 光学工程  ,0,2020-04-09 17:11,http://muchong.com/t-14183823-1
29,上海海事大学2020年材料专业学硕调剂【满足数学一，不限专业】,上海海事,工学 -> 材料科学与工程  ,0,2020-04-09 12:17,http://muchong.com/t-14183304-1
30,调剂招生,沈阳化工,工学   ,1,2020-04-09 10:48,http://muchong.com/t-14183112-1
31,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,1,2020-04-09 09:59,http://muchong.com/t-14182961-1
32,重庆科技学院-岩土工程重庆市研究生导师团队招收土木工程等相关专业调剂硕士生,重庆科技学院,工学 -> 土木工程  -> 岩土工程,60,2020-04-09 09:44,http://muchong.com/t-14182912-1
33,沈阳工大接收调剂研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工艺,6,2020-04-09 07:00,http://muchong.com/t-14182708-1
34,沈阳工大接收调剂研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工程,1,2020-04-09 06:49,http://muchong.com/t-14182701-1
35,重庆科技学院晏致涛教授团队招收土木工程等相关专业调剂硕士生,重庆科技学院,工学 -> 工程[专]  -> 建筑与土木工程,100,2020-04-08 23:41,http://muchong.com/t-14182568-1
36,欢迎调剂到苏州科技大学，高效微纳米储能材料与产业化推进实验攻读研究生,苏州科技大学,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-04-08 22:16,http://muchong.com/t-14182460-1
37,五邑大学-广东高水平理工大学欢迎你,五邑大学,工学 -> 化学工程与技术  -> 化学工程,10,2020-04-08 21:59,http://muchong.com/t-14182441-1
38,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,20,2020-04-08 21:58,http://muchong.com/t-14182439-1
39,福建工程学院材料科学与工程学院招收调剂硕士生,福建工程学院,工学 -> 材料科学与工程  ,2,2020-04-08 20:36,http://muchong.com/t-14182312-1
40,福建工程学院材料科学与工程学院招收调剂硕士生,福建工程学院,工学 -> 材料科学与工程  ,2,2020-04-08 20:34,http://muchong.com/t-14182307-1
41,辽宁石油化工大学 化学工程相关专业接收调剂 欢迎大家报名,辽宁石化,工学 -> 化学工程与技术  -> 化学工程,4,2020-04-08 20:04,http://muchong.com/t-14182276-1
42,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 材料科学与工程  -> 材料加工工程,4,2020-04-08 19:17,http://muchong.com/t-14182237-1
43,沈阳工大接收调剂研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工艺,0,2020-04-08 18:11,http://muchong.com/t-14182146-1
44,沈阳工大接收调剂研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工程,0,2020-04-08 17:41,http://muchong.com/t-14182107-1
45,江苏大学化工专业接收调剂研究生,江苏大学,工学 -> 化学工程与技术  ,2,2020-04-08 15:49,http://muchong.com/t-14181843-1
46,浙江理工大学刘向东教授（钱江特聘）组招收材料类研究生，欢迎选报、调剂！,浙江理工,工学 -> 材料科学与工程  ,8,2020-04-08 15:47,http://muchong.com/t-14181838-1
47,大连工业大学非粮生物质精炼及纸基功能材料平清伟教授团队（理学也可调剂）,大连工大,工学 -> 轻工技术与工程  -> 制浆造纸工程,12,2020-04-08 15:24,http://muchong.com/t-14181781-1
48,北京石油化工学院千人团队招收2020年硕士研究生调剂,北京石油化工学院,工学   ,5,2020-04-08 12:19,http://muchong.com/t-14181418-1
49,武汉纺织大学接收调剂研究生,武汉纺织大学,工学 -> 材料科学与工程  -> 材料学,3,2020-04-08 11:14,http://muchong.com/t-14181268-1
50,中科院天津工业生物技术所与天津科技大学联合培养硕士招生,天津科大,工学 -> 生物医学工程  -> 微生物学,2,2020-04-08 09:23,http://muchong.com/t-14180973-1
51,浙江科技接收调剂研究生,浙江科技,工学 -> 机械工程  -> 机械制造及其自动化,40,2020-04-08 09:01,http://muchong.com/t-14180931-1
52,浙江科技接收调剂研究生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,40,2020-04-08 09:00,http://muchong.com/t-14180926-1
53,重庆科技学院建筑工程学院接受土木专业调剂，欢迎咨询！,重庆科技学院,工学 -> 土木工程  ,0,2020-04-07 23:09,http://muchong.com/t-14180611-1
54,武汉科技大学高温结构陶瓷研究所,武汉科大,工学 -> 材料科学与工程  -> 材料学,4,2020-04-07 23:04,http://muchong.com/t-14180602-1
55,南京信息工程大学 化学与材料学院-接受调剂生~,南京信息工程大学,工学 -> 材料科学与工程  ,0,2020-04-07 20:05,http://muchong.com/t-14180331-1
56,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-04-07 18:39,http://muchong.com/t-14180236-1
57,2020年武汉科技大学材料与冶金学院鄢文接收硕士研究生调剂,武汉科大,工学 -> 材料科学与工程  -> 材料学,2,2020-04-07 17:28,http://muchong.com/t-14180144-1
58,湖南理工学院接收调剂研究生,湖南理工学院,工学 -> 化学工程与技术  -> 化学工程,60,2020-04-07 17:19,http://muchong.com/t-14180120-1
59,北方民族大学 化学与化学工程学院 2020年接收士兵计划调剂公告（化学工程及学术）,北方民大,工学 -> 工程[专]  ,25,2020-04-07 12:11,http://muchong.com/t-14179542-1
60,景德镇陶瓷大学材料科学与工程学院接受调剂考生,景德镇陶瓷学院,工学 -> 材料科学与工程  ,45,2020-04-07 11:36,http://muchong.com/t-14179462-1
61,上海市激光先进制造技术协同创新中心接受激光物理或焊接相关专业的硕士调剂生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,1,2020-04-07 09:37,http://muchong.com/t-14179134-1
62,【东北石油大学】“材料学”招收硕士调剂生,东北石油大学,工学 -> 材料科学与工程  -> 材料学,3,2020-04-05 20:32,http://muchong.com/t-14177135-1
63,华南农业大学蒋恩臣教授生物质能源团队-招收硕士调剂生,华南农业大学,工学 -> 农业工程  -> 农业生物环境与能源工程,5,2020-04-05 20:21,http://muchong.com/t-14177119-1
64,桂林理工大学材料科学与工程学院陈南春教授招收调剂硕士研究生,桂林理工大学,工学 -> 材料科学与工程  -> 材料学,2,2020-04-05 19:20,http://muchong.com/t-14177048-1
65,佳木斯大学-计算机应用技术硕士点-招收调剂硕士生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-04-05 17:35,http://muchong.com/t-14176947-1
66,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-04-05 17:14,http://muchong.com/t-14176921-1
67,增额扩招：东北石油大学电子信息专业调剂（专硕，下设计算机技术、软件工程两个方向）,东北石油大学,工学 -> 计算机科学与技术  ,58,2020-04-05 17:11,http://muchong.com/t-14176918-1
68,增额扩招：东北石油大学软件工程专业学硕调剂,东北石油大学,工学 -> 软件工程  ,12,2020-04-05 17:00,http://muchong.com/t-14176906-1
69,增额扩招：东北石油大学计算机科学与技术专业学硕调剂,东北石油大学,工学 -> 计算机科学与技术  ,28,2020-04-05 16:48,http://muchong.com/t-14176893-1
70,湖南理工学院接收调剂研究生,湖南理工学院,工学 -> 化学工程与技术  -> 化学工程,15,2020-04-05 14:06,http://muchong.com/t-14176691-1
71,大连工业大学欢迎研究生调剂,大连工大,工学 -> 材料科学与工程  ,4,2020-04-05 11:21,http://muchong.com/t-14176508-1
72,中国石油大学（北京）新能源与材料学院徐泉课题组接收2020级硕士、博士生、博士后,中国石油大学（北京）,工学 -> 化学工程与技术  ,0,2020-04-05 09:45,http://muchong.com/t-14176367-1
73,2020武汉纺织大学材料学院接受研究生调剂，只接收专业硕士，仅剩少量预调剂名额,武汉纺织大学,工学 -> 材料科学与工程  ,5,2020-04-05 08:15,http://muchong.com/t-14176260-1
74,2020年盐城工学院省新环保重点实验室有部分硕士研究生调剂名额,盐城工学院,工学 -> 化学工程与技术  -> 应用化学,4,2020-04-04 15:30,http://muchong.com/t-14175369-1
75,2020年盐城工学院省新环保重点实验室有部分硕士研究生调剂名额,盐城工学院,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-04-04 15:30,http://muchong.com/t-14175369-1
76,2020武汉科技大学先进材料研究团队研究生调剂信息,武汉科大,工学 -> 材料科学与工程  -> 材料学,9,2020-04-04 15:14,http://muchong.com/t-14175353-1
77,中国计量科学研究院招收2020年仪器科学与技术专业调剂研究生,,工学 -> 仪器科学与技术  ,2,2020-04-04 13:03,http://muchong.com/t-14175203-1
78,招收调剂研究生,山东建筑大学,工学 -> 材料科学与工程  -> 材料学,2,2020-04-04 12:52,http://muchong.com/t-14175186-1
79,2020年度重庆交通大学材料学院能源与环境科研团队/纳米工程材料方向接受调剂若干名,重庆交大,工学 -> 材料科学与工程  -> 材料学,5,2020-04-04 12:36,http://muchong.com/t-14175164-1
80,2020年北京石油化工学院化学工程学院北京市重点实验室主任团队接收部分研究生调剂,北京石油化工学院,工学 -> 化学工程与技术  -> 化学工程,12,2020-04-04 08:16,http://muchong.com/t-14174815-1
81,武汉纺织大学接收调剂研究生,武汉纺织大学,工学 -> 材料科学与工程  -> 材料加工工程,5,2020-04-04 06:02,http://muchong.com/t-14174722-1
82,哈尔滨理工大学机械设计学科齿轮传动项目组招生,哈尔滨理工大学,工学 -> 机械工程  ,5,2020-04-03 21:44,http://muchong.com/t-14174457-1
83,陕西科大接收调剂研究生,陕西科大,工学 -> 轻工技术与工程  -> 制浆造纸工程,1,2020-04-03 19:47,http://muchong.com/t-14174294-1
84,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,1,2020-04-03 18:54,http://muchong.com/t-14174208-1
85,浙江理工大学招收化学、材料方向调剂研究生,浙江理工,工学 -> 材料科学与工程  -> 材料学,2,2020-04-03 17:28,http://muchong.com/t-14174103-1
86,湖北工业大学接收调剂研究生,湖北工业大学,工学 -> 环境科学与工程  -> 环境工程,0,2020-04-03 16:26,http://muchong.com/t-14173960-1
87,广西大学接收调剂研究生,广西大学,工学 -> 林业工程  -> 木材科学与技术,2,2020-04-03 14:26,http://muchong.com/t-14173756-1
88,江汉大学光电化学材料与器件教育部重点实验室场效应晶体管材料课题组接收硕士调剂生,江汉大学,工学 -> 材料科学与工程  ,8,2020-04-03 13:40,http://muchong.com/t-14173660-1
89,福建农林大学资源与环境学院 废水资源化中心 招收博士生1-2名,福建农林大学,工学 -> 环境科学与工程  -> 环境工程,1,2020-04-03 10:13,http://muchong.com/t-14173204-1
90,长春大学接收调剂研究生,长春大学,工学 -> 机械工程  -> 机械制造及其自动化,15,2020-04-03 07:48,http://muchong.com/t-14172963-1
91,上海应用技术学院接收调剂电化学、高分子材料研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,4,2020-04-03 07:19,http://muchong.com/t-14172946-1
92,武汉纺织大学接收调剂研究生,武汉纺织大学,工学 -> 材料科学与工程  -> 材料学,10,2020-04-03 06:54,http://muchong.com/t-14172931-1
93,湖南工业大学招收控制理论与控制工程学硕（自动化为国家一流专业）,湖南工大,工学 -> 控制科学与工程  -> 控制理论与控制工程,12,2020-04-02 23:53,http://muchong.com/t-14172802-1
94,江西理工大学刘诗咏教授团队招收1-2名化学-有机化学或材料化学方向调剂生,江西理工,工学 -> 化学工程与技术  -> 应用化学,2,2020-04-02 22:28,http://muchong.com/t-14172712-1
95,调剂招收食品方向硕士研究生（淮阴工学院）,淮阴工学院,工学 -> 食品科学与工程  -> 食品科学,5,2020-04-02 22:19,http://muchong.com/t-14172699-1
96,武汉纺织大学包海峰老师课题组招材料方向调剂考生,武汉纺织大学,工学 -> 材料科学与工程  -> 材料学,0,2020-04-02 20:42,http://muchong.com/t-14172520-1
97,贵州大学现代制造技术教育部重点实验室机械工程、设计学招收调剂咨询,贵州大学,工学 -> 工程[专]  ,20,2020-04-02 15:28,http://muchong.com/t-14171949-1
98,重庆理工大学-理学院-电子信息与光工接收调剂研究生,重庆理工大学,工学 -> 光学工程  ,0,2020-04-01 21:26,http://muchong.com/t-14170664-1
99,浙江科技接收调剂研究生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,50,2020-04-01 20:14,http://muchong.com/t-14170535-1
100,沈阳工业大学石化学院（301膜分离课题组）调剂招生,沈阳工大,工学 -> 化学工程与技术  ,2,2020-04-01 19:33,http://muchong.com/t-14170483-1
101,武汉纺织大学材料学院接收材料、化学、力学方向硕士生调剂,武汉纺织大学,工学 -> 材料科学与工程  ,10,2020-04-01 18:50,http://muchong.com/t-14170433-1
102,2020河南工业大学电气工程学院控制科学与工程专业研究生调剂信息,河南工业,工学 -> 控制科学与工程  ,2,2020-04-01 16:58,http://muchong.com/t-14170259-1
103,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-04-01 16:52,http://muchong.com/t-14170246-1
104,北京工商大学聚合物功能薄膜团队接收高分子材料、轻工科学与技术研究生调剂,北京工商大学,工学   ,10,2020-04-01 16:42,http://muchong.com/t-14170229-1
105,上海工程技术大学钎焊技术与微纳制造课题组招收调剂研究生，名额1名，欢迎加入！！,上海工程,工学   ,2,2020-04-01 16:32,http://muchong.com/t-14170204-1
106,湖北汽院接收调剂研究生,湖北汽院,工学 -> 材料科学与工程  -> 材料学,15,2020-04-01 16:12,http://muchong.com/t-14170155-1
107,【调剂信息】浙江科技学院,浙江科技,工学 -> 化学工程与技术  ,0,2020-04-01 16:03,http://muchong.com/t-14170119-1
108,常州大学石油化工学院接受调剂研究生,常州大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-04-01 15:33,http://muchong.com/t-14170048-1
109,中国计量大学材料与化学学院硕士招生,中国计量,工学 -> 材料科学与工程  -> 材料学,3,2020-04-01 15:24,http://muchong.com/t-14170030-1
110,重庆理工大学接收调剂研究生,重庆理工大学,工学 -> 信息与通信工程  -> 通信与信息系统,33,2020-04-01 15:03,http://muchong.com/t-14169989-1
111,浙江科技-环资学院生物质与纸基功能材料科研团队招生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,18,2020-04-01 14:16,http://muchong.com/t-14169861-1
112,中国地质大学（武汉）材化学院 夏帆教授（杰青）组欢迎985/211/双一流生源调剂生,中国地质大学（武汉）,工学 -> 材料科学与工程  ,15,2020-04-01 13:27,http://muchong.com/t-14169772-1
113,渤海大学化学化工学院2020年硕士研究生预调剂公告,渤海大学,工学 -> 化学工程与技术  ,50,2020-04-01 13:10,http://muchong.com/t-14169756-1
114,杭州师范大学招收环境工程/应用化学方向硕士研究生,杭州师范,工学 -> 环境科学与工程  -> 环境工程,2,2020-04-01 10:27,http://muchong.com/t-14169548-1
115,天津理工大学功能晶体研究院2020年招收硕士研究生,天津理工,工学 -> 材料科学与工程  ,35,2020-04-01 10:11,http://muchong.com/t-14169525-1
116,重庆大学-悉尼科技大学（UTS）人工智能中心联合招生,重庆大学,工学   ,15,2020-04-01 04:33,http://muchong.com/t-14169209-1
117,中国地质大学（武汉）材化学院 夏帆教授（杰青）组 欢迎985/211/双一流生源调剂生,中国地质大学（武汉）,工学 -> 材料科学与工程  ,15,2020-04-01 00:02,http://muchong.com/t-14169125-1
118,浙江科技接收调剂研究生,浙江科技,工学 -> 环境科学与工程  -> 环境科学,5,2020-03-31 23:42,http://muchong.com/t-14169103-1
119,2020招收考研调剂硕士研究生（学硕）,大连工大,工学 -> 材料科学与工程  -> 材料学,2,2020-03-31 22:48,http://muchong.com/t-14169023-1
120,渤海大学食品科学与工程学院2020年硕士研究生预调剂公告,渤海大学,工学 -> 食品科学与工程  ,124,2020-03-31 19:59,http://muchong.com/t-14168782-1
121,接受1-2名2020年调剂硕士研究生,西安科大,工学 -> 矿业工程  -> 采矿工程,1,2020-03-31 17:22,http://muchong.com/t-14168551-1
122,中国计量大学光学与电子科学学院徐绘老师招收调剂研究生,中国计量,工学 -> 光学工程  ,3,2020-03-31 16:53,http://muchong.com/t-14168497-1
123,渤海大学接收调剂研究生,渤海大学,工学 -> 化学工程与技术  -> 化学工艺,3,2020-03-31 16:17,http://muchong.com/t-14168426-1
124,1,福建工程学院,工学 -> 材料科学与工程  -> 材料学,100,2020-03-31 13:42,http://muchong.com/t-14168103-1
125,中国计量接收调剂研究生,中国计量,工学 -> 光学工程  ,5,2020-03-31 13:32,http://muchong.com/t-14168083-1
126,武汉纺织大学接收调剂研究生,武汉纺织大学,工学 -> 材料科学与工程  -> 材料物理与化学,6,2020-03-31 13:15,http://muchong.com/t-14168058-1
127,杭州师范接收调剂研究生,杭州师范,工学 -> 化学工程与技术  -> 化学工程,60,2020-03-31 13:03,http://muchong.com/t-14168031-1
128,辽宁科技大学电化学冶金与新能源材料团队招收2020调剂考生,辽宁科技大学,工学 -> 治金工程  ,10,2020-03-31 12:59,http://muchong.com/t-14168023-1
129,环境科学与工程 招收调剂,盐城工学院,工学 -> 环境科学与工程  ,10,2020-03-31 12:49,http://muchong.com/t-14168000-1
130,广西民族大学 有机课题组诚邀有志之士加入！,广西民族大学,工学 -> 化学工程与技术  ,0,2020-03-31 12:46,http://muchong.com/t-14167998-1
131,现有大量调剂名额，请有需求符合条件的考生及时联系,武汉纺织大学,工学 -> 材料科学与工程  ,10,2020-03-31 12:23,http://muchong.com/t-14167963-1
132,招收2-3名化工专业调剂生,武汉科大,工学 -> 化学工程与技术  ,2,2020-03-31 12:12,http://muchong.com/t-14167943-1
133,【2020年考研调剂】大连海事大学（211）白敏冬教授团队招收多名物理生化调剂,大连海事,工学 -> 环境科学与工程  ,0,2020-03-31 10:30,http://muchong.com/t-14167651-1
134,中科院长春应化所高性能合成橡胶及其复合材料领域招收硕士研究生,中科院,工学 -> 化学工程与技术  -> 应用化学,1,2020-03-31 10:19,http://muchong.com/t-14167619-1
135,临沂大学生化分析研究所招收化学、生物医学工程调剂生,临沂大学,工学 -> 生物医学工程  ,2,2020-03-31 09:50,http://muchong.com/t-14167558-1
136,武汉纺织大学高性能纤维王罗新课题组招调剂考生,武汉纺织大学,工学 -> 材料科学与工程  ,60,2020-03-31 09:25,http://muchong.com/t-14167498-1
137,招收2-3名化工专业调剂生,武汉科大,工学 -> 化学工程与技术  ,2,2020-03-31 08:38,http://muchong.com/t-14167425-1
138,中国计量大学环境能源材料实验室接收研究生调剂,中国计量,工学 -> 材料科学与工程  ,3,2020-03-30 23:50,http://muchong.com/t-14167253-1
139,南昌航空大学接收调剂研究生,南昌航空大学,工学 -> 航空宇航科学与技术  -> 航空宇航推进理论与工程,10,2020-03-30 22:54,http://muchong.com/t-14167199-1
140,重庆科技学院接收调剂研究生,重庆科技学院,工学 -> 环境科学与工程  -> 环境科学,3,2020-03-30 21:57,http://muchong.com/t-14167104-1
141,中国地质大学（武汉）地质调查研究院刘伟博士招硕士研究生,中国地质大学（武汉）,工学 -> 环境科学与工程  -> 环境工程,1,2020-03-30 21:21,http://muchong.com/t-14167036-1
142,首都师范大学接收调剂研究生,首都师范大学,工学 -> 材料科学与工程  -> 材料加工工程,1,2020-03-30 19:45,http://muchong.com/t-14166896-1
143,武汉纺织大学材料学院高性能纤维课题组接收2020年调剂硕士生,,工学 -> 材料科学与工程  ,30,2020-03-30 19:08,http://muchong.com/t-14166842-1
144,中国计量大学环境能源材料实验室接收研究生调剂,中国计量,工学 -> 材料科学与工程  ,3,2020-03-30 16:23,http://muchong.com/t-14166566-1
145,重庆科技学院先进焊接与微连接课题组招收调剂啦,重庆科技学院,工学 -> 材料科学与工程  -> 材料学,5,2020-03-30 15:07,http://muchong.com/t-14166394-1
146,接受生物、化工、化学、材料、环境、林产、轻化等专业学硕或专硕调剂9名,大连工大,工学   ,9,2020-03-30 14:20,http://muchong.com/t-14166310-1
147,广西大学接收调剂研究生,广西大学,工学 -> 林业工程  -> 木材科学与技术,0,2020-03-30 13:44,http://muchong.com/t-14166240-1
148,中国科学院过程工程研究所与沈阳化工大学联合招收硕士生项目（接收调剂，长期有效）,中科院,工学 -> 化学工程与技术  -> 化学工程,100,2020-03-30 12:06,http://muchong.com/t-14166106-1
149,欢迎调剂到苏州科技大学，高效微纳米储能材料与产业化推进实验攻读研究生,苏州科技大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-30 12:06,http://muchong.com/t-14166107-1
150,武汉科技大学材冶学院李亚伟教授课题组招生,武汉科大,工学 -> 材料科学与工程  -> 材料学,4,2020-03-30 11:47,http://muchong.com/t-14166079-1
151,长春工业大学接收调剂研究生,长春工业大学,工学 -> 化学工程与技术  -> 化学工艺,1,2020-03-30 11:34,http://muchong.com/t-14166057-1
152,武汉科技大学材冶学院桑绍柏课题组招生,武汉科大,工学 -> 材料科学与工程  -> 材料学,4,2020-03-30 11:28,http://muchong.com/t-14166044-1
153,中国地质大学（武汉）陈伟副教授接收研究生,中国地质大学（武汉）,工学 -> 环境科学与工程  -> 环境工程,3,2020-03-30 10:42,http://muchong.com/t-14165934-1
154,沈阳化工大学信息工程学院招收控制、信息类调剂生,沈阳化工,工学 -> 控制科学与工程  ,70,2020-03-30 10:23,http://muchong.com/t-14165878-1
155,河北工程大学接收调剂研究生（学硕与专硕),河北工程,工学 -> 材料科学与工程  ,2,2020-03-30 09:15,http://muchong.com/t-14165738-1
156,上海工程技术大学 高韧耐磨耐热特钢研究团队接受调剂研究生3名,上海工程,工学 -> 材料科学与工程  ,3,2020-03-30 08:54,http://muchong.com/t-14165695-1
157,浙江科技接收调剂研究生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,40,2020-03-30 08:48,http://muchong.com/t-14165685-1
158,长春工业大学材料学院诚招考研调剂生，走过路过不要错过,长春工业大学,工学 -> 材料科学与工程  ,2,2020-03-30 08:35,http://muchong.com/t-14165671-1
159,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-30 00:25,http://muchong.com/t-14165491-1
160,安庆师范大学电子工程与智能制造学院招收调剂,安庆师范,工学 -> 信息与通信工程  -> 信号与信息处理,10,2020-03-29 20:47,http://muchong.com/t-14165202-1
161,齐鲁工业大学生物基材料国家重点实验室招收造纸、化工、材料类相关专业调剂硕士研究生,山东轻工,工学 -> 轻工技术与工程  -> 制浆造纸工程,3,2020-03-29 20:47,http://muchong.com/t-14165201-1
162,2020年湘潭大学接收动力工程及工程热物理硕士研究生调剂生,湘潭大学,工学 -> 动力工程及工程热物理  ,2,2020-03-29 18:03,http://muchong.com/t-14165002-1
163,辽宁工程技术大学吴迪教授团队硕士招生,辽宁工程技术大学,工学 -> 石油与天然气工程  ,5,2020-03-29 15:31,http://muchong.com/t-14164818-1
164,2020东北石油大学接受调剂（土木类环境类动力类建筑类）,东北石油大学,工学 -> 土木工程  ,80,2020-03-29 13:46,http://muchong.com/t-14164683-1
165,2020东北石油大学接受调剂（土木类环境类动力类建筑类）,东北石油大学,工学 -> 动力工程及工程热物理  ,80,2020-03-29 13:46,http://muchong.com/t-14164683-1
166,重庆科技学院土木工程-结构风工程课题组接收调剂,重庆科技学院,工学 -> 土木工程  -> 防灾减灾工程及防护工程,10,2020-03-29 13:44,http://muchong.com/t-14164681-1
167,福建农林大学接收调剂研究生,福建农林大学,工学 -> 环境科学与工程  -> 环境科学,0,2020-03-29 13:07,http://muchong.com/t-14164645-1
